"var_1";"translate"
"YenKhanh";"Yen Khanh"
"KimSon";"Kim Son"
"HaGiang";"Ha Giang"
"DongVan";"Dong Van"
"MeoVac";"Meo Vac"
"YenMinh";"Yen Minh"
"QuanBa";"Quan Ba"
"BacMe";"Bac Me"
"HoangSuPhi";"Hoang Su Phi"
"ViXuyen";"Vi Xuyen"
"XinMan";"Xin Man"
"BacQuang";"Bac Quang"
"QuangBinh";"Quang Binh"
"CaoBang";"Cao Bang"
"BaoLac";"Bao Lac"
"BaoLam";"Bao Lam"
"HaQuang";"Ha Quang"
"ThongNong";"Thong Nong"
"TraLinh";"Tra Linh"
"TrungKhanh";"Trung Khanh"
"NguyenBinh";"Nguyen Binh"
"HoaAn";"Hoa An"
"QuangUyen";"Quang Uyen"
"PhucHoa";"Phuc Hoa"
"HaLang";"Ha Lang"
"ThachAn";"Thach An"
"LaoCai";"Lao Cai"
"MuongKhuong";"Muong Khuong"
"BatXat";"Bat Xat"
"SiMaCai";"Si Ma Cai"
"BacHa";"Bac Ha"
"BaoThang";"Bao Thang"
"SaPa";"Sa Pa"
"BaoYen";"Bao Yen"
"VanBan";"Van Ban"
"BacKan";"Bac Kan"
"BaBe";"Ba Be"
"PacNam";"Pac Nam"
"NganSon";"Ngan Son"
"ChoDon";"Cho Don"
"NaRi";"Na Ri"
"BachThong";"Bach Thong"
"ChoMoi";"Cho Moi"
"LangSon";"Lang Son"
"TrangDinh";"Trang Dinh"
"VanLang";"Van Lang"
"BinhGia";"Binh Gia"
"BacSon";"Bac Son"
"VanQuan";"Van Quan"
"CaoLoc";"Cao Loc"
"LocBinh";"Loc Binh"
"ChiLang";"Chi Lang"
"DinhLap";"Dinh Lap"
"HuuLung";"Huu Lung"
"TuyenQuang";"Tuyen Quang"
"NaHang";"Na Hang"
"ChiemHoa";"Chiem Hoa"
"HamYen";"Ham Yen"
"YenSon";"Yen Son"
"SonDuong";"Son Duong"
"LamBinh";"Lam Binh"
"YenBai";"Yen Bai"
"NghiaLo";"Nghia Lo"
"LucYen";"Luc Yen"
"VanYen";"Van Yen"
"MuCangChai";"Mu Cang Chai"
"TranYen";"Tran Yen"
"YenBinh";"Yen Binh"
"VanChan";"Van Chan"
"TramTau";"Tram Tau"
"ThaiNguyen";"Thai Nguyen"
"SongCong";"Song Cong"
"DinhHoa";"Dinh Hoa"
"VoNhai";"Vo Nhai"
"PhuLuong";"Phu Luong"
"DongHy";"Dong Hy"
"DaiTu";"Dai Tu"
"PhuBinh";"Phu Binh"
"PhoYen";"Pho Yen"
"VietTri";"Viet Tri"
"PhuTho";"Phu Tho"
"DoanHung";"Doan Hung"
"HaHoa";"Ha Hoa"
"ThanhBa";"Thanh Ba"
"PhuNinh";"Phu Ninh"
"LamThao";"Lam Thao"
"CamKhe";"Cam Khe"
"YenLap";"Yen Lap"
"TamNong";"Tam Nong"
"ThanhThuy";"Thanh Thuy"
"ThanhSon";"Thanh Son"
"TanSon";"Tan Son"
"BacGiang";"Bac Giang"
"YenThe";"Yen The"
"TanYen";"Tan Yen"
"LucNgan";"Luc Ngan"
"HiepHoa";"Hiep Hoa"
"LangGiang";"Lang Giang"
"SonDong";"Son Dong"
"LucNam";"Luc Nam"
"VietYen";"Viet Yen"
"YenDung";"Yen Dung"
"HaLong";"Ha Long"
"CamPha";"Cam Pha"
"UongBi";"Uong Bi"
"MongCai";"Mong Cai"
"BinhLieu";"Binh Lieu"
"HaiHa";"Hai Ha"
"DamHa";"Dam Ha"
"TienYen";"Tien Yen"
"BaChe";"Ba Che"
"VanDon";"Van Don"
"HoanhBo";"Hoanh Bo"
"DongTrieu";"Dong Trieu"
"CoTo";"Co To"
"QuangYen";"Quang Yen"
"NamNhun";"Nam Nhun"
"LaiChau";"Lai Chau"
"MuongTe";"Muong Te"
"PhongTho";"Phong Tho"
"SinHo";"Sin Ho"
"ThanUyen";"Than Uyen"
"TanUyen";"Tan Uyen"
"DienBienPhu";"Dien Bien Phu"
"NamPo";"Nam Po"
"MuongLay";"Muong Lay"
"MuongNhe";"Muong Nhe"
"MuongCha";"Muong Cha"
"TuaChua";"Tua Chua"
"TuanGiao";"Tuan Giao"
"MuongAng";"Muong Ang"
"DienBien";"Dien Bien"
"DienBienDong";"Dien Bien Dong"
"SonLa";"Son La"
"QuynhNhai";"Quynh Nhai"
"MuongLa";"Muong La"
"ThuanChau";"Thuan Chau"
"BacYen";"Bac Yen"
"PhuYen";"Phu Yen"
"MaiSon";"Mai Son"
"SongMa";"Song Ma"
"SopCop";"Sop Cop"
"YenChau";"Yen Chau"
"MocChau";"Moc Chau"
"VanHo";"Van Ho"
"HoaBinh";"Hoa Binh"
"DaBac";"Da Bac"
"MaiChau";"Mai Chau"
"KySon";"Ky Son"
"LuongSon";"Luong Son"
"CaoPhong";"Cao Phong"
"KimBoi";"Kim Boi"
"LacThuy";"Lac Thuy"
"TanLac";"Tan Lac"
"LacSon";"Lac Son"
"YenThuy";"Yen Thuy"
"ThanhHoa";"Thanh Hoa"
"BimSon";"Bim Son"
"SamSon";"Sam Son"
"MuongLat";"Muong Lat"
"QuanHoa";"Quan Hoa"
"QuanSon";"Quan Son"
"BaThuoc";"Ba Thuoc"
"CamThuy";"Cam Thuy"
"LangChanh";"Lang Chanh"
"ThachThanh";"Thach Thanh"
"NgocLac";"Ngoc Lac"
"ThuongXuan";"Thuong Xuan"
"NhuXuan";"Nhu Xuan"
"NhuThanh";"Nhu Thanh"
"VinhLoc";"Vinh Loc"
"HaTrung";"Ha Trung"
"NgaSon";"Nga Son"
"YenDinh";"Yen Dinh"
"ThoXuan";"Tho Xuan"
"HauLoc";"Hau Loc"
"ThieuHoa";"Thieu Hoa"
"HoangHoa";"Hoang Hoa"
"DongSon";"Dong Son"
"TrieuSon";"Trieu Son"
"QuangXuong";"Quang Xuong"
"NongCong";"Nong Cong"
"TinhGia";"Tinh Gia"
"CuaLo";"Cua Lo"
"QuePhong";"Que Phong"
"QuyChau";"Quy Chau"
"QuyHop";"Quy Hop"
"NghiaDan";"Nghia Dan"
"ThaiHoa";"Thai Hoa"
"TuongDuong";"Tuong Duong"
"QuynhLuu";"Quynh Luu"
"TanKy";"Tan Ky"
"ConCuong";"Con Cuong"
"YenThanh";"Yen Thanh"
"DienChau";"Dien Chau"
"AnhSon";"Anh Son"
"DoLuong";"Do Luong"
"ThanhChuong";"Thanh Chuong"
"NghiLoc";"Nghi Loc"
"NamDan";"Nam Dan"
"HungNguyen";"Hung Nguyen"
"HaTinh";"Ha Tinh"
"HongLinh";"Hong Linh"
"NghiXuan";"Nghi Xuan"
"DucTho";"Duc Tho"
"HuongSon";"Huong Son"
"VuQuang";"Vu Quang"
"CanLoc";"Can Loc"
"LocHa";"Loc Ha"
"ThachHa";"Thach Ha"
"CamXuyen";"Cam Xuyen"
"HuongKhe";"Huong Khe"
"KyAnh";"Ky Anh"
"DongHoi";"Dong Hoi"
"TuyenHoa";"Tuyen Hoa"
"MinhHoa";"Minh Hoa"
"BaDon";"Ba Don"
"QuangTrach";"Quang Trach"
"BoTrach";"Bo Trach"
"QuangNinh";"Quang Ninh"
"LeThuy";"Le Thuy"
"DongHa";"Dong Ha"
"QuangTri";"Quang Tri"
"VinhLinh";"Vinh Linh"
"GioLinh";"Gio Linh"
"CamLo";"Cam Lo"
"TrieuPhong";"Trieu Phong"
"HaiLang";"Hai Lang"
"HuongHoa";"Huong Hoa"
"DaKrong";"Da Krong"
"PhongDien";"Phong Dien"
"QuangDien";"Quang Dien"
"HuongTra";"Huong Tra"
"PhuVang";"Phu Vang"
"HuongThuy";"Huong Thuy"
"PhuLoc";"Phu Loc"
"ALuoi";"A Luoi"
"NamDong";"Nam Dong"
"HaiChau";"Hai Chau"
"ThanhKhe";"Thanh Khe"
"SonTra";"Son Tra"
"NguHanhSon";"Ngu Hanh Son"
"LienChieu";"Lien Chieu"
"HoaVang";"Hoa Vang"
"CamLe";"Cam Le"
"TamKy";"Tam Ky"
"HoiAn";"Hoi An"
"TayGiang";"Tay Giang"
"DongGiang";"Dong Giang"
"DaiLoc";"Dai Loc"
"DienBan";"Dien Ban"
"DuyXuyen";"Duy Xuyen"
"NamGiang";"Nam Giang"
"ThangBinh";"Thang Binh"
"QueSon";"Que Son"
"NongSon";"Nong Son"
"HiepDuc";"Hiep Duc"
"TienPhuoc";"Tien Phuoc"
"PhuocSon";"Phuoc Son"
"NuiThanh";"Nui Thanh"
"BacTraMy";"Bac Tra My"
"NamTraMy";"Nam Tra My"
"QuangNgai";"Quang Ngai"
"LySon";"Ly Son"
"BinhSon";"Binh Son"
"TraBong";"Tra Bong"
"TayTra";"Tay Tra"
"SonTinh";"Son Tinh"
"SonHa";"Son Ha"
"TuNghia";"Tu Nghia"
"NghiaHanh";"Nghia Hanh"
"MinhLong";"Minh Long"
"MoDuc";"Mo Duc"
"DucPho";"Duc Pho"
"BaTo";"Ba To"
"QuyNhon";"Quy Nhon"
"HoaiNhon";"Hoai Nhon"
"HoaiAn";"Hoai An"
"PhuMy";"Phu My"
"VinhThanh";"Vinh Thanh"
"PhuCat";"Phu Cat"
"TaySon";"Tay Son"
"AnNhon";"An Nhon"
"TuyPhuoc";"Tuy Phuoc"
"VanCanh";"Van Canh"
"TuyHoa";"Tuy Hoa"
"DongXuan";"Dong Xuan"
"SongCau";"Song Cau"
"TuyAn";"Tuy An"
"SonHoa";"Son Hoa"
"PhuHoa";"Phu Hoa"
"TayHoa";"Tay Hoa"
"DongHoa";"Dong Hoa"
"SongHinh";"Song Hinh"
"NhaTrang";"Nha Trang"
"CamRanh";"Cam Ranh"
"VanNinh";"Van Ninh"
"NinhHoa";"Ninh Hoa"
"DienKhanh";"Dien Khanh"
"CamLam";"Cam Lam"
"KhanhVinh";"Khanh Vinh"
"KhanhSon";"Khanh Son"
"KonTum";"Kon Tum"
"DakGlei";"Dak Glei"
"NgocHoi";"Ngoc Hoi"
"DakTo";"Dak To"
"KonRay";"Kon Ray"
"KonPlong";"Kon Plong"
"DakHa";"Dak Ha"
"SaThay";"Sa Thay"
"TuMoRong";"Tu Mo Rong"
"DakDoa";"Dak Doa"
"MangYang";"Mang Yang"
"ChuPah";"Chu Pah"
"IaGrai";"Ia Grai"
"AnKhe";"An Khe"
"DakPo";"Dak Po"
"KongChro";"Kong Chro"
"DucCo";"Duc Co"
"ChuProng";"Chu Prong"
"ChuSe";"Chu Se"
"AyunPa";"Ayun Pa"
"IaPa";"Ia Pa"
"KrongPa";"Krong Pa"
"PhuThien";"Phu Thien"
"ChuPuh";"Chu Puh"
"BuonMaThuot";"Buon Ma Thuot"
"BuonHo";"Buon Ho"
"EaH'leo";"Ea H'leo"
"EaSup";"Ea Sup"
"KrongNang";"Krong Nang"
"KrongBuk";"Krong Buk"
"BuonDon";"Buon Don"
"CuM'gar";"Cu M'gar"
"EaKar";"Ea Kar"
"KrongPac";"Krong Pac"
"KrongANa";"Krong A Na"
"CuKuin";"Cu Kuin"
"KrongBong";"Krong Bong"
"GiaNghia";"Gia Nghia"
"CuJut";"Cu Jut"
"DakMil";"Dak Mil"
"KrongNo";"Krong No"
"DakSong";"Dak Song"
"DakR'Lap";"Dak R'Lap"
"TuyDuc";"Tuy Duc"
"DakGlong";"Dak Glong"
"DaLat";"Da Lat"
"BaoLoc";"Bao Loc"
"LacDuong";"Lac Duong"
"DonDuong";"Don Duong"
"DucTrong";"Duc Trong"
"LamHa";"Lam Ha"
"DiLinh";"Di Linh"
"DaHuoai";"Da Huoai"
"DaTeh";"Da Teh"
"CatTien";"Cat Tien"
"DamRong";"Dam Rong"
"GoVap";"Go Vap"
"TanBinh";"Tan Binh"
"TanPhu";"Tan Phu"
"BinhThanh";"Binh Thanh"
"PhuNhuan";"Phu Nhuan"
"ThuDuc";"Thu Duc"
"CuChi";"Cu Chi"
"HocMon";"Hoc Mon"
"BinhChanh";"Binh Chanh"
"BinhTan";"Binh Tan"
"NhaBe";"Nha Be"
"CanGio";"Can Gio"
"PhanRang-ThapCham";"Phan Rang-Thap Cham"
"NinhSon";"Ninh Son"
"BacAi";"Bac Ai"
"NinhHai";"Ninh Hai"
"ThuanBac";"Thuan Bac"
"NinhPhuoc";"Ninh Phuoc"
"ThuanNam";"Thuan Nam"
"DongXoai";"Dong Xoai"
"DongPhu";"Dong Phu"
"PhuocLong";"Phuoc Long"
"LocNinh";"Loc Ninh"
"BuDop";"Bu Dop"
"BuDang";"Bu Dang"
"ChonThanh";"Chon Thanh"
"BinhLong";"Binh Long"
"HonQuan";"Hon Quan"
"BuGiaMap";"Bu Gia Map"
"TayNinh";"Tay Ninh"
"TanBien";"Tan Bien"
"TanChau";"Tan Chau"
"DuongMinhChau";"Duong Minh Chau"
"ChauThanh";"Chau Thanh"
"HoaThanh";"Hoa Thanh"
"BenCau";"Ben Cau"
"GoDau";"Go Dau"
"TrangBang";"Trang Bang"
"ThuDauMot";"Thu Dau Mot"
"DauTieng";"Dau Tieng"
"BenCat";"Ben Cat"
"PhuGiao";"Phu Giao"
"ThuanAn";"Thuan An"
"DiAn";"Di An"
"BacTanUyen";"Bac Tan Uyen"
"BauBang";"Bau Bang"
"BienHoa";"Bien Hoa"
"DinhQuan";"Dinh Quan"
"VinhCuu";"Vinh Cuu"
"ThongNhat";"Thong Nhat"
"TrangBom";"Trang Bom"
"LongKhanh";"Long Khanh"
"CamMy";"Cam My"
"XuanLoc";"Xuan Loc"
"LongThanh";"Long Thanh"
"NhonTrach";"Nhon Trach"
"PhanThiet";"Phan Thiet"
"LaGi";"La Gi"
"TuyPhong";"Tuy Phong"
"BacBinh";"Bac Binh"
"HamThuanBac";"Ham Thuan Bac"
"HamThuanNam";"Ham Thuan Nam"
"TanhLinh";"Tanh Linh"
"HamTan";"Ham Tan"
"DucLinh";"Duc Linh"
"PhuQuy";"Phu Quy"
"VungTau";"Vung Tau"
"BaRia";"Ba Ria"
"ChauDuc";"Chau Duc"
"XuyenMoc";"Xuyen Moc"
"TanThanh";"Tan Thanh"
"DatDo";"Dat Do"
"LongDien";"Long Dien"
"TanAn";"Tan An"
"TanHung";"Tan Hung"
"VinhHung";"Vinh Hung"
"MocHoa";"Moc Hoa"
"DucHue";"Duc Hue"
"DucHoa";"Duc Hoa"
"BenLuc";"Ben Luc"
"ThuThua";"Thu Thua"
"TanTru";"Tan Tru"
"CanDuoc";"Can Duoc"
"CanGiuoc";"Can Giuoc"
"KienTuong";"Kien Tuong"
"CaoLanh";"Cao Lanh"
"SaDec";"Sa Dec"
"TanHong";"Tan Hong"
"HongNgu";"Hong Ngu"
"ThanhBinh";"Thanh Binh"
"ThapMuoi";"Thap Muoi"
"LapVo";"Lap Vo"
"LaiVung";"Lai Vung"
"LongXuyen";"Long Xuyen"
"ChauDoc";"Chau Doc"
"AnPhu";"An Phu"
"PhuTan";"Phu Tan"
"ChauPhu";"Chau Phu"
"TinhBien";"Tinh Bien"
"TriTon";"Tri Ton"
"ThoaiSon";"Thoai Son"
"MyTho";"My Tho"
"GoCong";"Go Cong"
"TanPhuoc";"Tan Phuoc"
"CaiLay";"Cai Lay"
"ChoGao";"Cho Gao"
"CaiBe";"Cai Be"
"GoCongTay";"Go Cong Tay"
"GoCongDong";"Go Cong Dong"
"TanPhuDong";"Tan Phu Dong"
"VinhLong";"Vinh Long"
"LongHo";"Long Ho"
"MangThit";"Mang Thit"
"BinhMinh";"Binh Minh"
"TamBinh";"Tam Binh"
"TraOn";"Tra On"
"VungLiem";"Vung Liem"
"BenTre";"Ben Tre"
"MoCayNam";"Mo Cay Nam"
"ChoLach";"Cho Lach"
"MoCayBac";"Mo Cay Bac"
"GiongTrom";"Giong Trom"
"BinhDai";"Binh Dai"
"BaTri";"Ba Tri"
"ThanhPhu";"Thanh Phu"
"RachGia";"Rach Gia"
"HaTien";"Ha Tien"
"KienLuong";"Kien Luong"
"HonDat";"Hon Dat"
"TanHiep";"Tan Hiep"
"GiongRieng";"Giong Rieng"
"GoQuao";"Go Quao"
"AnBien";"An Bien"
"AnMinh";"An Minh"
"VinhThuan";"Vinh Thuan"
"PhuQuoc";"Phu Quoc"
"KienHai";"Kien Hai"
"UMinhThuong";"U Minh Thuong"
"GiangThanh";"Giang Thanh"
"NinhKieu";"Ninh Kieu"
"OMon";"O Mon"
"BinhThuy";"Binh Thuy"
"CaiRang";"Cai Rang"
"ThotNot";"Thot Not"
"CoDo";"Co Do"
"ThoiLai";"Thoi Lai"
"ViThanh";"Vi Thanh"
"NgaBay";"Nga Bay"
"ChauThanhA";"Chau Thanh A"
"PhungHiep";"Phung Hiep"
"ViThuy";"Vi Thuy"
"LongMy";"Long My"
"TraVinh";"Tra Vinh"
"CangLong";"Cang Long"
"CauKe";"Cau Ke"
"TieuCan";"Tieu Can"
"CauNgang";"Cau Ngang"
"TraCu";"Tra Cu"
"DuyenHai";"Duyen Hai"
"SocTrang";"Soc Trang"
"KeSach";"Ke Sach"
"LongPhu";"Long Phu"
"CuLaoDung";"Cu Lao Dung"
"MyTu";"My Tu"
"MyXuyen";"My Xuyen"
"NgaNam";"Nga Nam"
"VinhChau";"Vinh Chau"
"TranDe";"Tran De"
"BacLieu";"Bac Lieu"
"HongDan";"Hong Dan"
"VinhLoi";"Vinh Loi"
"GiaRai";"Gia Rai"
"DongHai";"Dong Hai"
"CaMau";"Ca Mau"
"ThoiBinh";"Thoi Binh"
"UMinh";"U Minh"
"TranVanThoi";"Tran Van Thoi"
"CaiNuoc";"Cai Nuoc"
"DamDoi";"Dam Doi"
"NgocHien";"Ngoc Hien"
"NamCan";"Nam Can"
"Con Dao";"Con Dao"
"Ba Tre";"Ba Che"
"Bach Long Vy";"Bach Long Vi"
"Buon Ma Thuat";"Buon Ma Thuot"
"Chupah";"Chu Pah"
"Chu Pong";"Chu Prong"
"Na Ry";"Na Ri"
"Ea Hleo";"Ea H'leo"
"Krong Ana";"Krong A Na"
"Cu Mgar";"Cu M'gar"
"Ea Soup";"Ea Sup"
"M Drak";"M'Drak"
"Dak Rlap";"Dak R'Lap"
"Hong Ngu Town";"Hong Ngu"
"Kbang";"KBang"
"Iagrai";"Ia Grai"
"TP. Hà Giang";"Ha Giang"
"Tu Liem";"Bac Tu Liem"
"Vu Quong";"Vu Quang"
"Pho Cu";"Phu Cu"
"Konplong";"Kon Plong"
"Dakglei";"Dak Glei"
"Van Quang";"Van Quan"
"Phan Rang";"Phan Rang-Thap Cham"
"DacKrong";"Da Krong"
"Tra De";"Tran De"
"Muc Chau";"Moc Chau"
"Tran yen";"Tran Yen"
"Hoà Vang";"Hoa Vang"
"Đăk Glong";"Dak Glong"
"Đăk Mil";"Dak Mil"
"Đăk R'Lấp";"Dak R'Lap"
"Krông Ana";"Krong A Na"
"Krông Buk";"Krong Buk"
"Krông Pắk";"Krong Pac"
"Lăk";"Lak"
"M'Đrăk";"M'Drak"
"Điên Biên Phủ";"Dien Bien Phu"
"Long Xuyen Township";"Long Xuyen"
"Côn Đảo";"Con Dao"
"Qui Nhơn";"Quy Nhon"
"Đồng Phù";"Dong Phu"
"Mỏ Cày";"Mo Cay"
"Hoà An";"Hoa An"
"K'Bang";"KBang"
"Ứng Hoà";"Ung Hoa"
"Từ Liêm";"Tu Liem"
"Lạc Thuỷ";"Lac Thuy"
"Yên Thuỷ";"Yen Thuy"
"Bach Long Vi";"Bach Long Vi"
"Vị Thuỷ";"Vi Thuy"
"Đăk Glei";"Dak Glei"
"Đăk Hà";"Dak Ha"
"Đăk Tô";"Dak To"
"Thanh Uyen";"Than Uyen"
"Vãn Lãng";"Van Lang"
"Hạ Hoà";"Ha Hoa"
"Thanh Thuỷ";"Thanh Thuy"
"Yên Hưng";"Yen Hung"
"Cồn Cỏ";"Con Co"
"Định Hoá";"Dinh Hoa"
"Ngọc Lạc";"Ngoc Lac"
"Thanh Hóa City";"Thanh Hoa"
"Chiêm Hoá";"Chiem Hoa"
"Nà Hang";"Na Hang"
"Mù Căng Trai";"Mu Cang Chai"
"Yen Hung";"Yen Hung"
